REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/tmp/tmp0xtdlpio.wav	 /tmp/tmpyua135pl.wav	 -1.000	 2.620	 16000	wb
/tmp/tmp64uk1vaj.wav	 /tmp/tmp2hngkzyd.wav	 -1.000	 2.506	 16000	wb
/tmp/tmp6klz97wh.wav	 /tmp/tmpnu4etdh0.wav	 -1.000	 1.745	 16000	wb
/tmp/tmp0y7q_lgi.wav	 /tmp/tmpw3fvks_i.wav	 -1.000	 2.106	 16000	wb
/tmp/tmp3gynj6z2.wav	 /tmp/tmpawdydcsw.wav	 -1.000	 1.042	 16000	wb
/tmp/tmpok3abi94.wav	 /tmp/tmpjnlk9_nr.wav	 -1.000	 2.795	 16000	wb
/tmp/tmpxwdy7g6i.wav	 /tmp/tmpw63mrpm_.wav	 -1.000	 1.049	 16000	wb
/tmp/tmpk1gai4k5.wav	 /tmp/tmpbuahoouu.wav	 -1.000	 2.085	 16000	wb
/tmp/tmp2chhilfo.wav	 /tmp/tmpcxgpu06p.wav	 -1.000	 2.489	 16000	wb
/tmp/tmppa4ynnrp.wav	 /tmp/tmpjcgixg09.wav	 -1.000	 2.479	 16000	wb
/tmp/tmpkg42jd1a.wav	 /tmp/tmpazaas9zf.wav	 -1.000	 3.243	 16000	wb
/tmp/tmpkkms23xe.wav	 /tmp/tmpns9xq_u1.wav	 -1.000	 2.722	 16000	wb
/tmp/tmpf68v5j1w.wav	 /tmp/tmpdg54qf2s.wav	 -1.000	 1.970	 16000	wb
/tmp/tmpaypdn76d.wav	 /tmp/tmpu8itlubj.wav	 -1.000	 2.445	 16000	wb
/tmp/tmp7p259e2s.wav	 /tmp/tmp5y8qicvl.wav	 -1.000	 2.254	 16000	wb
/tmp/tmp7a64gfsn.wav	 /tmp/tmphz6vq191.wav	 -1.000	 3.335	 16000	wb
/tmp/tmpvs22we74.wav	 /tmp/tmpq2bqko6l.wav	 -1.000	 2.228	 16000	wb
/tmp/tmpw7uuyxjv.wav	 /tmp/tmpz56622ak.wav	 -1.000	 1.793	 16000	wb
/tmp/tmpg_sdyb5d.wav	 /tmp/tmplur_f_t0.wav	 -1.000	 2.395	 16000	wb
/tmp/tmpjeh0xbw4.wav	 /tmp/tmp91jbni0u.wav	 -1.000	 2.661	 16000	wb
/tmp/tmpmgo2ykdz.wav	 /tmp/tmpoq3mu7cy.wav	 -1.000	 2.272	 16000	wb
/tmp/tmpheosv42o.wav	 /tmp/tmplqj7y01_.wav	 -1.000	 2.212	 16000	wb
/tmp/tmpr6tbsms1.wav	 /tmp/tmp2tuped18.wav	 -1.000	 1.055	 16000	wb
/tmp/tmprbufs_el.wav	 /tmp/tmp1sujtog7.wav	 -1.000	 2.841	 16000	wb
/tmp/tmp9as5z8bb.wav	 /tmp/tmp2e1mx5ps.wav	 -1.000	 2.351	 16000	wb
